002.轻型无人机，是指空机质量()A. 小于7kg	B. 大于7kg，小于116kg	C. 大于116kg，小于5700kg
355.在融合空域3，000米以上运行的小型无人机驾驶员，应至少持有飞机或直升机等级的	A.航线运输执照	B.私照	C.商照	
178.下图为HE3控制型式，采用这种控制型式的直升机	A.M22。	B.FH1原型机。	C.海鸥。	
467.下图中执行航拍动作的航段为：	A.wp1-wp2	B.wp2-wp3	C.wp3-wp4	
460.下图中起飞点的坐标为：	A.22’36’’52.87’’S014’32’40.85’’E	B.22’37’’00.50’’S014’32’22.74’’E	C.22’36’’31.28’’S014’32’52.51’’E	
568.无人机在最大升阻比飞行时的性能特点是	A.最大爬升角和最大滑翔距离	B.最大航程	C.最大升力系数和最小阻力系数	
556.在下列参数中,影响涡桨发动机工作寿命的主要是	A.发动机的排气温度	B.发动机滑油温度	C.发动机转速	
356.在融合空域运行的大型无人机驾驶员，应至少持有带有飞机或直升机等级的	A.商照和仪表等级	B.私照	C.商照	
466.下图中紫色圆圈表示：	A.以wp2点为中心执行航拍	B.以wp2点为中心顺时针巡飞	C.以wp2点为中心逆时针巡飞	
119.内侧滑转弯时，飞机转弯的快慢和所倾斜的角度不对应，然后飞机会偏航到转弯航迹的内侧。下列说法正确的是	A.飞机以一定的角速度转弯而倾斜过多时，水平升力分量小于离心力	B.升力的水平分量和离心力的平衡只能通过降低倾斜度建立	C.升力的水平分量和离心力的平衡可以通过降低倾斜度建立	
164.关于旋翼的反扭矩说法正确的是	A.旋翼的反扭矩会迫使直升机向旋翼旋转的反方向偏转。	B.旋翼反扭矩的大小取决于发动机输入功率的大小。	C.发动机带动旋翼旋转时，旋翼诱导阻力力矩为发动机传递给旋翼轴的扭矩所平衡。	
091飞机的最大起飞重量指		A．飞机离地时的重量	B．飞机开始滑行时的重量	C．飞机开始起飞滑跑时的重量
277.当机翼和尾翼积冰时，下列不正确的描述是：	A.翼型失真（变型）	B.导致摩擦阻力减少	C.压差阻力都增大	
003近程无人机活动半径在()A.小于15km	B.15~50km	C.200~800km
155.关于桨叶的剖面形状说法错误的是	A.桨叶的剖面形状称为桨叶翼型。	B.桨叶翼型常见的有平凸型.双凸型和非对称型。	C.一般用相对厚度.最大厚度位置.相对弯度.最大弯度位置等参数来说明桨叶翼型。	
082常规布局的飞机，平尾升力对飞机重心的力矩常为使飞机机头的力矩______。	A．上仰	B．下俯	C．偏转
387.飞行时间的含义是指	A.从航空器自装载地点开始滑行直到飞行结束到达卸载地点停止运动时为止的时间	B.自航空器开始起飞滑跑至着陆滑跑终止的时间	C.从航空器起飞进入跑道至着陆脱离跑道的时间	
431.______是在无人机飞行过程中，根据实际的飞行情况和环境的变化制定出一条可分航迹，包括对预先规划的修改，以及选择应急的方案，其特点是约束和飞行环境实时变化，任务规划系统需综合考量威胁、航程、约束等多种条件，采用______生成飞行器的安全飞行航迹，任务规划系统需具备较强的信息处理能力并具有一定的辅助决策能力。	A.预先规划，最优航迹规划算法	B.航迹规划，最短航迹规划算法	C.实时规划，快速航迹规划算法	
031对于带襟翼无人机，放下襟翼，飞机的升力将（），阻力将() A．增大.减小	B．增大.增大	C．减小.减小
117.失速时机翼	A.升力的向上力和尾部向下的力降低	B.升力的向上力和尾部向下的力增加	C.升力的向上力和尾部向下的力恒为零	
460.下图中起飞点的坐标为：	A.22’36’’52.87’’S014’32’40.85’’E	B.22’37’’00.50’’S014’32’22.74’’E	C.22’36’’31.28’’S014’32’52.51’’E	
325.《中华人民共和国民用航空法》自________起施行	A.1996年1月1日	B.1996年3月1日	C.1997年1月1日	
071飞机着陆进入地面效应区时，将	A．出现短暂的机头上仰变化	B．经历诱导阻力减小的过程，需要减小动力	C．需要增大迎角以保持相同的升力系数
412.关于“飞行管理”不正确的是	A.在一个划定的管制空域内，可由两个空中交通管制单位负责空中交通管制	B.通常情况下，民用航空器不得飞入禁区和限制区	C.民用航空器未经批准不得飞出中华人民共和国领空	
257.暖锋是指：	A.锋面在移动过程中，暖空气推动锋面向冷气团一侧移动的锋	B.一侧气团温度明显高于另一侧气团温度的锋	C.温度较高与温度较低的两个气团交汇时，温度高的一侧	
201.大气的组成是由：	A.78%的氮气，21%的氧气以及1%的其它气体组成	B.75%的氮气，24%的氧气以及1%的其它气体组成	C.78%的氮气，20%的氧气以及2%的其它气体组成	
307.在卫星云图上，可见光云图的色调取决于：	A.目标反射太阳辐射的大小	B.目标的温度	C.目标的高低	
232.接近地面的对流气流会影响驾驶员操控的能力，下列说法哪种正确？	A.在最后进近时，来自全无植被的地形的下降气流有时会产生下沉效应，导致飞过预期的着陆点	B.在一大片水体或者稠密植被的区域之上进近会趋于产生一个下沉效应，导致着陆在不到预期的着陆点。	C.在一大片水体或者稠密植被的区域之上进近会趋于会产生漂浮效应，导致飞过预期的着陆点	
179.下图中为H4X控制型式的是	A. B. C. 	
022指挥控制与是无人机地面站的()主要功能.A.飞行状态监控	B任务规划	C飞行视角显示
114.当速度增加而诱导阻力减少时	A.形阻减少了	B.蒙皮摩阻减少了	C.蒙皮摩阻增加了	
188.以直升机在逆风悬停中作3600右回转为例说明风的影响。直升机从悬停进入右回转，逆风变为左逆侧风，转到900变为左正侧风转过900后变为左顺侧风，到1800时变为顺风转过1800后变为右顺侧风，到2700时变为右正侧风转过2700后变为右逆侧风，到3600又回到逆风位置。下面哪幅图是错的	A. B. C. 	
484.飞控子系统可以不具备如下功能：______	A.姿态稳定与控制	B.导航与制导控制	C.任务分配与航迹规划	
328.任何单位或者个人未取得________，均不得生产民用航空器	A.适航证	B.生产许可证	C.型号合格证	
227.在地表的风向稍微不同于地表之上几千英尺高度的风向的原因是：	A.当地地形影响气压	B.地面有较强的地转偏向力	C.风和地面之间的磨擦作用	
091飞机的最大起飞重量指		A．飞机离地时的重量	B．飞机开始滑行时的重量	C．飞机开始起飞滑跑时的重量
436.______主要指执行任务过程中实现动作的时间点、方式和方法，设定机会航点的时间节点、飞行高度、航速、飞行姿态以及配合载荷设备的工作状态与模式，当无人机到达该航点时实施航拍、盘旋等飞行任务。	A.任务分配	B.载荷规划	C.目标分配	
ZH140.以下关于舵面遥控(纯手动)、姿态通控、人工修正(即GPS模式)说法不正确的是	A.人工修正模式下，飞控内外回路都参与工作	B.姿态遥控模式下, 飞控内回路不參与工作,外回路参与工作提供位置信息	C.舵面遥控模式下, 飞控内外回路都不参与工作	
ZH7.多旋翼无人机在姿态遥控状态下，如出现动力失效则正确的处理方法是：	A.接地瞬间将油门收至最小	B.遥控器油门保持中间略上位置	C.始终保持油门在最大位置试图恢复动力	
ZH127.关于升阻比和载荷因数，以下说法错误的是？	A .在最小阻力迎角下飞行，可以获得最大的升阻比	B. 载荷因数与升阻比成正比	C.升力与重力的比值称为载荷因数	
ZH93.共轴式直升机是通过改变什么来改变航向？	A.上下旋翼转速	B.上下旋翼桨距	C.倾斜盘倾斜方向	
ZH87.电动多旋翼的螺旋桨可以做的尽量大，从而可以用最少的旋翼数实现大载荷是否正确？	A.正确	B.不正确	C.不一定	
ZH66.现有螺旋桨1845、1555、和电机5035、4012请写出最优化的组合方式？	A.1845和4012   1555和4012	B.1845和5035   1555和4012	C.1845和4012   1555和5035	
ZH6.关于升阻比和载荷因数，以下说法错误的是：	A.在最小的助力迎角下飞行，可以获得最大的升阻比	B.载荷因数与升阻比成正比	C.升力与重力的比值称为载荷因数	
056飞机坡度增大，升力的垂直分量	A．增大	B．减小	C．保持不变
ZH105.多旋翼无人机在使用地面站超视距飞行中，数传上行链路故障中断，该如何处理？	A.检查上行链路尝试恢复连接	B.继续飞行、会自动连接	C.暂停飞行、尝试重新连接、点击一键返航	
ZH128.对于混合燃油发动机，冬天的燃油、机油混合比针对夏天应如何调整？	A .燃油机油混合比适当减小	B. 燃油机油混合比适当增大	C .燃油机油混合比不变	
ZH146.关于诱导阻力，以下说法错误的是	A.滑翔机为了减小诱导阻力，常将机翼设计成又长又窄的高展弦比机翼	B.有的机翼上加装了翼梢小翼，目的是增强气流的下洗以增大升力，从而减小诱导阻力	C.飞行速度越快，诱导阻力越小	
389.申请飞行计划通常应当于飞行前一日什么时间向空中交通管制部门提出申请,并通知有关单位	A.15时前	B.16时前	C.17时前	
ZH100.现在常见的直升机中，平衡周期变距，克服挥舞的部件是	A.电子陀螺仪	B.机械陀螺仪	C.腹翼	
462.下图中执行航拍任务的航点以及航拍类型为：	A.wp1，定时航拍	B.wp2，定时航拍	C.wp3，定点航拍	
087飞机的横侧安定性过强，而方向安定性相对过弱，飞机容易出现	A．飘摆（荷兰滚）	B．螺旋不稳定现象	C．失去纵向安定
396.农业作业飞行的最低天气标准,平原地区是	A.云高不低于100米,能见度不小于3公里	B.云高不低于150米,能见度不小于5公里	C.云高不低于200米,能见度不小于5公里	
079飞机迎角减小，压力中心的位置会		A．前移	B．后移	C．保持不变
ZH99.一般情况下，要增加直升机最大负载，最合适的办法是	A.增加转速，增大桨距	B.增加转速，减小桨距	C.减小转速，增大奖距	
353.下列情况下，无人机系统驾驶员由局方实施管理	A.在融合空域运行的轻型无人机	B.在融合空域运行的小型无人机	C.在隔离空域内超视距运行的无人机	
ZH124.众所周知，物体运动的速度是一个矢量，关于飞行过程中空速与地速的关系，下列正确的是？	 A 正侧风时，空速=地速	 B 无论何时，空速+风速=地速	 C 逆风时，空速＜地速	
340.民用无人驾驶航空器系统驾驶员执照由哪个部门颁发	A.民航局下属司（局）	B.中国航空器拥有者及驾驶员协会（中国A.OPA.）	C.地区管理局	
119.内侧滑转弯时，飞机转弯的快慢和所倾斜的角度不对应，然后飞机会偏航到转弯航迹的内侧。下列说法正确的是	A.飞机以一定的角速度转弯而倾斜过多时，水平升力分量小于离心力	B.升力的水平分量和离心力的平衡只能通过降低倾斜度建立	C.升力的水平分量和离心力的平衡可以通过降低倾斜度建立	
ZH58.汽油机随着高度的增加，功率会增加还是减小？	A.增大	B.不变	C.减小	
ZH140.以下关于舵面遥控(纯手动)、姿态通控、人工修正(即GPS模式)说法不正确的是	A.人工修正模式下，飞控内外回路都参与工作	B.姿态遥控模式下, 飞控内回路不參与工作,外回路参与工作提供位置信息	C.舵面遥控模式下, 飞控内外回路都不参与工作	
ZH63.多旋翼飞机如何实现左转弯，螺旋桨转速如何变化？	A.（顶视）顺时针减速、逆时针加速	B.(顶视)顺时针加速、逆时针加速	C.(顶视)顺时针加速、逆时针减速	
459.下图中1表示的内容为：	A.整个航线的航程与航时	B.当前飞行的航程与飞行时长	C.相邻航点的距离与飞行时长	
444._____主要用于飞行区域内重点目标的标注，如建筑物、禁飞区、人口密集区等易影响飞行安全的区域	A.场地标注	B.任务区域标注	C.警示标注	
ZH93.共轴式直升机是通过改变什么来改变航向？	A.上下旋翼转速	B.上下旋翼桨距	C.倾斜盘倾斜方向	
ZH141.多旋翼无人机要实现在悬停中向右偏航,不同螺旋桨应如何变化?	A.机体轴左边螺旋桨加速, 右边螺旋桨減速	B.逆时针加速,顺时针減速	C.逆时针減速, 顺时针加速	
357.在融合空域运行的大型无人机机长，应至少持有	A.航线运输执照	B.商照	C.商照和仪表等级	
ZH5.多旋翼无人机以下哪个下降速度较为合理：	A.2m/s	B.8m/s	C.5m/s	
532.如果一本《无人机飞行手册》没有注明具体的无人机序号和注册信息，则。	A.手册可以作为该机飞行的参考指导	B.手册只能用于一般学习用途	C.手册可以部分作为该机飞行参考指导	
ZH48.标有60A的电调中，选用多大的电池合适？	A.大于60A	B.等于60A	C.小于60A	
294.发生在低层的风切变严重影响航空器的起降，将发生在这一气层中的风切变称为低空风切变。低空风切变距地面一般约：	A.300米	B.600米	C.800米	
ZH9.关于失速，下面哪个说法是不正确的	A.机翼迎角超过临界迎角，导致升力急剧降低的飞行状态称为失速	B.直升机前飞速度过快，可能导致后行旋翼出现失速	C.失速会导致升力系数急剧减少，阻力系数缓慢减少	
ZH145.关于翼型相对厚度和相对弯度正确的是：	A.翼型相对厚度越大，相对弯度就越大，能产生的升力就越大。	B.翼型上下表面垂直于翼弦的距离最长的距离值称之为相对厚度	C.翼型中弧线的最高点距翼弦的最大距离与翼弦长的比值称为相对弯度	
ZH76.地面站中无线电频率越小，穿透能力越？	A.强	B.弱	C.没变化	
ZH136.遥控器中升降舵、副翼、方向舵、油门控制通道的英文缩写分别正确的是？	A.ELE、AIL、RUD、THR	B.ELE、THR、RUD、AIL	C.RUD、AIL、ELE、THR	
ZH49.电调的作用不包括哪些？	A.改变电机转速	B.直流电变交流电	C.改变电流大小	
ZH76.地面站中无线电频率越小，穿透能力越？	A.强	B.弱	C.没变化	
ZH143.4S，16000毫安时电池1.5C充电，充电器应设置充电电流多少安培？	A.12	B.18	C.24	
ZH56.外转子电机和内转子电机，在相同电压相同电流下哪个转速高？	A.外转子电机	B.内转子电机	C.一样大	
ZH60.CW1545螺旋桨与CCW 14*6螺旋桨，请问哪支螺旋桨螺距大？	A.CW1545	B.CW14*6	C.一样大	
